traditional,simplified,pinyin,cefr_level,part_of_speech,definitions
攀,攀,pān,B2,V,to climb (by pulling oneself up) | to implicate | to claim connections of higher status
判斷,判断,pànduàn,B2,V,to judge | to determine | judgment
炮,炮,pào,B2,N,variant of 炮
砲,砲,pào,B2,N,variant of 炮
賠,赔,péi,B2,V,to compensate for loss | to indemnify | to suffer a financial loss
賠償,赔偿,péicháng,B2,V,to compensate
佩服,佩服,pèifú,B2,Vst,to admire
陪同,陪同,péitóng,B2,V,to accompany
盆,盆,pén,B2,M,"basin | flower pot | unit of volume equal to 12 斗 and 8 升, approx 128 liters"
噴,喷,pēn,B2,V,"(of a smell) strong | peak season (of a crop) | (classifier for the ordinal number of a crop, in the context of multiple harvests)"
捧,捧,pěng,B2,V,to clasp | to cup the hands | to hold up with both hands | to offer (esp. in cupped hands) | to praise | to flatter
碰見,碰见,pèngjiàn,B2,Vpt,to run into | to meet (unexpectedly) | to bump into
膨脹,膨胀,péngzhàng,B2,Vp,to expand | to inflate | to swell
皮,皮,pí,B2,Vs,leather | skin | fur | pico- (one trillionth) | naughty
匹,匹,pī,B2,M,variant of 匹 | classifier for cloth: bolt
批,批,pī,B2,M / V,"to ascertain | to act on | to criticize | to pass on | classifier for batches, lots, military flights | tier (for the ranking of universities and colleges)"
披,披,pī,B2,V,to drape over one's shoulders | to open | to unroll | to split open | to spread out
騙,骗,piàn,B2,V,to cheat | to swindle | to deceive | to get on (a horse etc) by swinging one leg over
偏,偏,piān/piānpiān,B2,Adv,to lean | to slant | oblique | prejudiced | to deviate from average | to stray from the intended line | stubbornly | contrary to expectations
偏偏,偏偏,piān/piānpiān,B2,Adv,(indicates that sth turns out just the opposite of what one would wish) unfortunately | as it happened | (indicates that sth is the opposite of what would be normal or reasonable) stubbornly | contrarily | against reason | (indicates that sb or a group is singled out) precisely | only | of all people
片面,片面,piànmiàn,B2,Vs-attr,unilateral | one-sided
偏食,偏食,piānshí,B2,Vs,"partial to (some kinds of food, usu. unhealthy) | having likes and dislikes | partial eclipse"
偏向,偏向,piānxiàng,B2,Vst,partial towards sth | to prefer | to incline | erroneous tendencies (Leftist or Revisionist deviation)
片子,片子,piànzi,B2,N,thin flake | small piece
飄,飘,piāo,B2,Vi,to float (in the air) |  to flutter |  to waft | complacent |  frivolous | weak |  shaky |  wobbly
屁股,屁股,pìgǔ,B2,N,buttocks | bottom | butt | back part
疲倦,疲倦,píjuàn,B2,Vs,to tire | tired
疲勞,疲劳,píláo,B2,Vs,fatigue | wearily | weariness | weary
品德,品德,pĭndé,B2,N,moral character
憑,凭,píng,B2,Prep,"to lean against | to rely on | on the basis of | no matter (how, what etc) | proof"
平常,平常,píngcháng,B2,Vs,ordinary | common | usually | ordinarily
平衡,平衡,pínghéng,B2,Vst,balance | equilibrium
平靜,平静,píngjìng,B2,Vs,tranquil | undisturbed | serene
平均,平均,píngjūn,B2,Vs,average |  on average | evenly |  in equal proportions
乒乓球,乒乓球,pīngpāngqiú /zhuōqiú,B2,N,table tennis | ping-pong | table tennis ball
桌球,桌球,pīngpāngqiú /zhuōqiú,B2,N,"table tennis | table tennis ball (Tw) | billiards | pool | snooker (HK, Singapore, Malaysia)"
拼命,拼命,pīnmìng,B2,Vs,to do one's utmost |  with all one's might |  at all costs |  (to work or fight) as if one's life depends on it
聘請,聘请,pìnqĭng,B2,V,to engage | to hire (a lawyer etc)
貧窮,贫穷,pínqióng/pín,B2,Vs,poor | impoverished
貧,贫,pínqióng/pín,B2,Vs,poor | inadequate | deficient | garrulous
批判,批判,pīpàn,B2,V,to criticize | critique
脾氣,脾气,píqì,B2,N,character |  temperament |  disposition | bad temper
頗,颇,pŏ,B2,Adv,rather | quite | considerably | oblique | inclined | slanting | Taiwan pr. 
破爛,破烂,pòlàn,B2,Vs,worn-out |  dilapidated |  tattered |  ragged | (coll.) rubbish |  junk
破裂,破裂,pòliè,B2,Vp,to burst |  to rupture | (of a relationship etc) to break down
婆婆,婆婆,pópo,B2,N,husband's mother | mother-in-law | grandma
迫切,迫切,pòqiè,B2,Vs,urgent |  pressing
撲,扑,pū,B2,V,to throw oneself at | to pounce on | to devote one's energies | to flap | to flutter | to dab | to pat | to bend over
鋪,铺,pū,B2,V,plank bed | place to sleep | shop | store | (old) relay station
瀑布,瀑布,pùbù,B2,N,waterfall
普及,普及,pŭjí,B2,Vs,to spread extensively | to generalize | widespread | popular | universal | ubiquitous | pervasive
撲滅,扑灭,pūmiè,B2,V,to eradicate | to extinguish
普通,普通,pŭtōng,B2,Vs,common | ordinary | general | average
普通話,普通话,pŭtōnghuà,B2,N,Mandarin (common language) | Putonghua (common speech of the Chinese language) | ordinary speech
期,期,qí,B2,N,"a period of time | phase | stage | classifier for issues of a periodical, courses of study | time | term | period | to hope | Taiwan pr. "
起,起,qĭ,B2,M / V,"to rise | to raise | to get up | to set out | to start | to appear | to launch | to initiate (action) | to draft | to establish | to get (from a depot or counter) | verb suffix, to start | starting from (a time, place, price etc) | classifier for occurrences or unpredictable events: case, instance | classifier for groups: batch, group"
其,其,qí,B2,N,his | her | its | their | that | such | it (refers to sth preceding it)
棋,棋,qí,B2,N,variant of 棋
齊,齐,qí,B2,Vs,neat | even | level with | identical | simultaneous | all together | to even sth out
旗,旗,qí,B2,N,banner | flag | (in Qing times) Manchu (cf. 八旗) | administrative subdivision in inner Mongolia equivalent to 縣|县 county
妻,妻,qī/qīzĭ,B2,N,to marry off (a daughter)
妻子,妻子,qī/qīzĭ,B2,N,wife
欠,欠,qiàn,B2,V,to owe | to lack | (literary) to be deficient in | (bound form) yawn | to raise slightly (a part of one's body)
牽,牵,qiān,B2,V,to lead along | to pull (an animal on a tether) | (bound form) to involve | to draw in
遷,迁,qiān,B2,V,to move | to shift | to change (a position or location etc) | to promote
簽,签,qiān,B2,V,"inscribed bamboo stick (used in divination, gambling, drawing lots etc) | small wood sliver | label | tag"
簽訂,签订,qiāndìng,B2,V,to agree to and sign (a treaty etc)
前方,前方,qiánfāng,B2,N,ahead | the front
強,强,qiáng,B2,Vs,variant of 強|强
槍,枪,qiāng,B2,N,variant of 槍|枪 | rifle | spear
牆,墙,qiáng/qiángbì,B2,N,wall
牆壁,墙壁,qiáng/qiángbì,B2,N,wall
強大,强大,qiángdà,B2,Vs,large |  formidable |  powerful |  strong
強度,强度,qiángdù,B2,N,strength | intensity
搶救,抢救,qiăngjiù,B2,V,to rescue
強烈,强烈,qiángliè,B2,Vs,strong |  intense
強迫,强迫,qiăngpò,B2,V,to compel | to force
強人,强人,qiángrén,B2,N,"(politics) strongman | (in the workplace, esp. of a woman) a highly capable person | (old) robber"
前進,前进,qiánjìn,B2,V,to go forward | to forge ahead | to advance | onward
前頭,前头,qiántou,B2,N,in front | at the head | ahead | above
前途,前途,qiántú,B2,N,prospects | future outlook | journey
千萬,千万,qiānwàn,B2,Adv,ten million | countless | many | one must by all means
前往,前往,qiánwăng,B2,V,to leave for |  to proceed towards |  to go to
歉意,歉意,qiànyì,B2,N,apology | regret
前院,前院,qiányuàn,B2,N,front courtyard | front yard
簽約,签约,qiānyuē,B2,V-sep,to sign a contract or agreement
簽字,签字,qiānzì,B2,V-sep,to sign (one's name) | signature
巧,巧,qiăo,B2,Vs,opportunely | coincidentally | as it happens | skillful | timely
瞧,瞧,qiáo,B2,V,to look at | to see | to see (a doctor) | to visit
敲,敲,qiāo,B2,V,to hit | to strike | to tap | to rap | to knock | to rip sb off | to overcharge
巧妙,巧妙,qiăomiào,B2,Vs,ingenious |  clever | ingenuity |  artifice
悄悄,悄悄,qiăoqiăo/qiăo,B2,Adv,quiet |  making little or no noise | surreptitious |  stealthy | anxious |  worried | Taiwan pr. 
悄,悄,qiăoqiăo/qiăo,B2,Adv,quiet | sad
器材,器材,qìcái,B2,N,equipment | material
起初,起初,qĭchū,B2,Adv,originally |  at first |  at the outset
期待,期待,qídài,B2,Vst,to look forward to | to await | expectation
切,切,qiē,B2,V,"definitely |  absolutely (not) | (scoffing or dismissive interjection) Yeah, right. |  Tut! | to grind | (bound form) close to | (bound form) eager | to correspond to | (used to indicate that the fanqie 反切 system should be applied to the previous two characters)"
氣憤,气愤,qìfèn,B2,Vs,indignant | furious
氣氛,气氛,qìfēn,B2,N,atmosphere |  mood
器官,器官,qìguān,B2,N,(physiology) organ |  apparatus
氣候,气候,qìhòu,B2,N,(meteorology) climate | (fig.) climate |  prevailing conditions (in human affairs)
起火,起火,qĭhuŏ,B2,Vp,to catch fire | to cook | to get angry
親愛,亲爱,qīnài,B2,Vs-attr,dear | beloved | darling
青,青,qīng,B2,Vs,green | blue | black | youth | young (of people)
清,清,qīng,B2,V,(of water etc) clear |  clean | quiet |  still | pure |  uncorrupted | clear |  distinct | to clear |  to settle (accounts)
清晨,清晨,qīngchén,B2,N,early morning
清除,清除,qīngchú,B2,V,to clear away | to eliminate | to get rid of
清淡,清淡,qīngdàn,B2,Vs,"light (of food, not greasy or strongly flavored) | insipid | slack (sales)"
輕傷,轻伤,qīngshāng,B2,N,lightly wounded | minor injuries
輕視,轻视,qīngshì,B2,Vst,contempt | contemptuous | to despise | to scorn | scornful
情書,情书,qíngshū,B2,N,love letter
清晰,清晰,qīngxī,B2,Vs,clear | distinct
傾向,倾向,qīngxiàng,B2,Vst,trend | tendency | orientation
清醒,清醒,qīngxĭng,B2,Vs,clear-headed | sober | awake
情緒,情绪,qíngxù,B2,N,mood | state of mind | moodiness
侵害,侵害,qīnhài,B2,V,to encroach on | to infringe on
親口,亲口,qīnkŏu,B2,Adv,one's own mouth | fig. in one's own words | to say sth personally
勤勞,勤劳,qínláo,B2,Vs,hardworking | industrious | diligent
親戚,亲戚,qīnqī,B2,N,a relative (i.e. family relation)
親人,亲人,qīnrén,B2,N,one's close relatives
侵入,侵入,qīnrù,B2,V,to make (military) incursions | to invade | to intrude into | to trespass | to gain unauthorized access (computing)
寢室,寝室,qĭnshì,B2,N,bedroom | dormitory
旗袍,旗袍,qípáo,B2,N,Chinese-style dress | cheongsam
欺騙,欺骗,qīpiàn,B2,V,to deceive | to cheat
齊全,齐全,qíquán,B2,Vs,complete | comprehensive
歧視,歧视,qíshì,B2,Vst,to discriminate against | discrimination
企圖,企图,qìtú,B2,N / Vaux,to attempt | to try | attempt
球隊,球队,qiúduì,B2,N,"sports team (basketball, soccer, football etc)"
求婚,求婚,qiúhūn,B2,V-sep,to propose marriage
秋季,秋季,qiūjì,B2,N,autumn | fall
球鞋,球鞋,qiúxié,B2,N,athletic shoes
期望,期望,qíwàng,B2,Vst,to have expectations | to earnestly hope | expectation | hope
氣味,气味,qìwèi,B2,N,odor |  scent
氣息,气息,qìxí,B2,N,breath | smell | odor | flavor
期限,期限,qíxiàn,B2,N,time limit | deadline | allotted time
氣象,气象,qìxiàng,B2,N,meteorological feature | meteorology | atmosphere | ambience | scene
汽油,汽油,qìyóu,B2,N,gasoline
其餘,其余,qíyú,B2,Det,the rest | the others | remaining | remainder | apart from them
取,取,qŭ,B2,V,to take | to get | to choose | to fetch
娶,娶,qŭ,B2,V,to take a wife | to marry (a woman)
勸,劝,quàn,B2,V,to advise | to urge | to try to persuade | to exhort | to console | to soothe
圈,圈,quān,B2,M,"circle |  ring |  loop (CL:個|个) | classifier for loops, orbits, laps of race etc | to surround |  to circle"
全家,全家,quánjiā,B2,N,whole family
權利,权利,quánlì,B2,N,right (i.e. an entitlement to sth) | (classical) power and wealth
全面,全面,quánmiàn,B2,Adv / Vs-attr,all-around | comprehensive | total | overall
全體,全体,quántĭ,B2,N,all | entire
拳頭,拳头,quántou,B2,N,fist | clenched fist | competitive (product)
區別,区别,qūbié,B2,N / V,difference | to distinguish | to discriminate | to make a distinction
取得,取得,qŭdé,B2,Vpt,to acquire |  to get |  to obtain
缺,缺,quē,B2,Vst,deficiency | lack | scarce | vacant post | to run short of
缺乏,缺乏,quēfá,B2,Vst,to lack |  to be short of
缺少,缺少,quēshăo,B2,Vst,lack | shortage of | shortfall | to be short (of) | to lack
確實,确实,quèshí,B2,Vs,indeed | really | reliable | real | true
缺席,缺席,quēxí,B2,Vs,to be absent
群,群,qún,B2,M,"group | crowd | flock, herd, pack etc"
羣,群,qún,B2,M,"group | crowd | flock, herd, pack etc"
群眾,群众,qúnzhòng,B2,N,mass | multitude | the masses
取笑,取笑,qŭxiào,B2,V,to tease |  to make fun of
取消,取消,qŭxiāo,B2,V,to cancel | cancellation
區域,区域,qūyù,B2,N,area | region | district
曲折,曲折,qūzhé,B2,Vs,winding | (fig.) complicated
染,染,răn,B2,V,to dye | to catch (a disease) | to acquire (bad habits etc) | to contaminate | to add color washes to a painting
然而,然而,ránér,B2,Conj,however |  yet |  but
讓步,让步,ràngbù,B2,Vi,to concede | to give in | to yield | a concession | (linguistics) concessive
燃料,燃料,ránliào,B2,N,fuel
燃燒,燃烧,ránshāo,B2,V,to ignite | to combust | to burn | combustion | flaming
繞,绕,rào,B2,V,"variant of 繞|绕, to rotate around | to spiral | to move around | to go round (an obstacle) | to by-pass | to make a detour"
惹,惹,rě,B2,V / Vst,to provoke | to irritate | to vex | to stir up | to anger | to attract (troubles) | to cause (problems)
熱愛,热爱,rèài,B2,Vst,to love ardently | to adore
熱量,热量,rèliàng,B2,N,heat | quantity of heat | calorific value
熱烈,热烈,rèliè,B2,Vs,enthusiastic | ardent | warm
熱門,热门,rèmén,B2,Vs,popular |  hot |  in vogue
任,任,rèn,B2,Vst,"to assign | to appoint | to take up a post | office | responsibility | to let | to allow | to give free rein to | no matter (how, what etc) | classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)"
忍不住,忍不住,rěnbùzhù,B2,Vs,cannot help | unable to bear
人才,人才,réncái,B2,N,talent | talented person | looks | attractive looks
人格,人格,réngé,B2,N,personality | integrity | dignity
人工,人工,réngōng,B2,N,artificial | manpower | manual work
人力,人力,rénlì,B2,N,manpower | labor power
人情味,人情味,rénqíngwèi/rénqíngwèir,B2,N,human warmth | friendliness | human touch
人情味兒,人情味儿,rénqíngwèi/rénqíngwèir,B2,N,erhua variant of 人情味
人權,人权,rénquán,B2,N,human rights
人生,人生,rénshēng,B2,N,life (one's time on earth)
人事,人事,rénshì,B2,N,personnel | human resources | human affairs | ways of the world | (euphemism) sexuality | the facts of life
忍受,忍受,rěnshòu,B2,Vst,to bear | to endure
人體,人体,réntĭ,B2,N,human body
人心,人心,rénxīn,B2,N,popular feeling | the will of the people
忍心,忍心,rěnxīn,B2,Vs,to have the heart to do sth | to steel oneself to a task
任性,任性,rènxìng,B2,Vs,willful | headstrong | unruly
人行道,人行道,rénxíngdào,B2,N,sidewalk
人員,人员,rényuán,B2,N,staff | crew | personnel
熱情,热情,rèqíng,B2,N / Vs,cordial | enthusiastic | passion | passionate | passionately
熱心,热心,rèxīn,B2,Vs,enthusiastic |  ardent |  zealous
日常,日常,rìcháng,B2,Vs-attr,day-to-day |  daily |  everyday
日後,日后,rìhòu,B2,N,sometime | someday (in the future)
日用品,日用品,rìyòngpĭn,B2,N,articles for daily use
容,容,róng,B2,Vst / V,to hold | to contain | to allow | to tolerate | appearance | look | countenance
融化,融化,rónghuà,B2,Vp,to melt | to thaw | to dissolve | to blend into | to combine | to fuse
榮幸,荣幸,róngxìng,B2,Vs,honored (to have the privilege of ...)
如,如,rú,B2,Vst,as | as if | such as
入,入,rù,B2,V,to enter | to go into | to join | to become a member of | to confirm or agree with | abbr. for 入聲|入声
軟,软,ruăn,B2,Vs,variant of 軟|软
如果說,如果说,rúguŏshuō,B2,Conj,if | if one were to say
如何,如何,rúhé,B2,Adv / Vs,how | what way | what
如今,如今,rújīn,B2,N,nowadays | now
入境,入境,rùjìng,B2,V,to enter a country
如同,如同,rútóng,B2,Vst,like | as
入學,入学,rùxué,B2,Vp,to enter a school or college | to go to school for the first time as a child
塞,塞,sāi,B2,V,to stop up | to stuff | to cope with
塞車,塞车,sāichē,B2,Vs,traffic jam
賽跑,赛跑,sàipăo,B2,Vi,race (running) | to race (running)
散,散,sàn,B2,V / Vp,to scatter | to break up (a meeting etc) | to disperse | to disseminate | to dispel | (coll.) to sack
喪失,丧失,sàngshī,B2,Vpt,to lose | to forfeit
三角形,三角形,sānjiăoxíng,B2,N,triangle
掃,扫,săo,B2,V,broom
艘,艘,sāo,B2,M,classifier for ships | Taiwan pr. 
色彩,色彩,sècăi,B2,N,tint |  coloring |  coloration | (fig.) flavor |  character
色情,色情,sèqíng,B2,N,pornography | sex
傻,傻,shă,B2,Vs,foolish
沙,沙,shā,B2,N,granule | hoarse | raspy | sand | powder | abbr. for Tsar or Tsarist Russia
殺價,杀价,shājià,B2,V-sep,to beat down the price | to haggle | to slash one's prices
沙漠,沙漠,shāmò,B2,N,desert
閃,闪,shăn,B2,Vi / Vp,"to dodge | to duck out of the way | to beat it | shaken (by a fall) | to sprain | to pull a muscle | lightning | spark | a flash | to flash (across one's mind) | to leave behind | (Internet slang) (of a display of affection) ""dazzlingly"" saccharine"
山地,山地,shāndì,B2,N,mountainous region | hilly area | hilly country
上,上,shàng,B2,V,(bound form) up |  upper |  above |  previous | first (of multiple parts) | to climb |  to get onto |  to go up | to attend (class or university) | (directional complement) up | (noun suffix) on |  above
傷,伤,shāng,B2,N / Vs,to injure | injury | wound
商標,商标,shāngbiāo,B2,N,trademark | logo
商場,商场,shāngchăng,B2,N,shopping mall | shopping center | department store | emporium | the business world
上級,上级,shàngjí,B2,N,higher authorities | superiors
商量,商量,shāngliáng,B2,V,to consult | to talk over | to discuss
傷腦筋,伤脑筋,shāngnăojīn,B2,Vs,to be a real headache | to find sth a real headache | to beat one's brains
上升,上升,shàngshēng,B2,Vi,to rise | to go up | to ascend
上市,上市,shàngshì,B2,Vp,to hit the market (of a new product) | to float (a company on the stock market)
上述,上述,shàngshù,B2,N,aforementioned | above-mentioned
上台,上台,shàngtái,B2,V-sep,to rise to power (in politics) | to go on stage (in the theater)
上臺,上台,shàngtái,B2,V-sep,to rise to power (in politics) | to go on stage (in the theater)
上頭,上头,shàngtou,B2,N,above | on top of | on the surface of
上下,上下,shàngxià,B2,N,up and down | top and bottom | old and young | length | about
上游,上游,shàngyóu,B2,N,upper reaches (of a river) | upper level | upper echelon | upstream
善於,善于,shànyú,B2,Vst,to be good at |  to be adept at
扇子,扇子,shànzi,B2,N,fan
稍,稍,shāo,B2,Adv,see 稍息
少年,少年,shàonián,B2,N,early youth | youngster | (literary) youth | young man
少女,少女,shàonǚ,B2,N,girl | young lady
少數,少数,shăoshù,B2,Det,small number | few | minority
稍微,稍微,shāowéi,B2,Adv,a little bit
沙灘,沙滩,shātān,B2,N,beach | sandy shore
沙子,沙子,shāzi,B2,N,sand | grit
射,射,shè,B2,V,to shoot | to launch | to allude to | radio- (chemistry)
捨不得,舍不得,shěbùde,B2,Vst,to hate to do sth | to hate to part with | to begrudge
捨得,舍得,shěde,B2,Vst,to be willing to part with sth
社交,社交,shèjiāo,B2,N,interaction | social contact
設立,设立,shèlì,B2,V,to set up |  to establish
神,神,shén,B2,N,god |  deity | supernatural |  magical |  mysterious | spirit |  mind |  energy | lively |  expressive | look |  expression | (coll.) awesome |  amazing
伸,伸,shēn,B2,V,to stretch | to extend
身材,身材,shēncái,B2,N,stature | build (height and weight) | figure
審查,审查,shěnchá,B2,V,to examine | to investigate | to censor out | censorship
身分,身分,shēnfèn,B2,N,variant of 身份
身分證,身分证,shēnfènzhèng,B2,N,identity card | also written 身份證|身份证
勝,胜,shèng,B2,Vp,victory | success | to beat | to defeat | to surpass | victorious | superior to | to get the better of | better than | surpassing | superb (of vista) | beautiful (scenery) | wonderful (view) | (Taiwan pr. ) able to bear | equal to (a task)
省,省,shěng,B2,Vs,(bound form) to scrutinize | (bound form) to reflect (on one's conduct) | (bound form) to come to realize | (bound form) to pay a visit (to one's parents or elders)
升,升,shēng,B2,Vp,variant of 升
生,生,shēng,B2,Vs-attr,to be born | to give birth | life | to grow | raw | uncooked | student
繩,绳,shéng,B2,N,rope
生詞,生词,shēngcí,B2,N,new word (in textbook) | word that is unfamiliar or not yet studied
生存,生存,shēngcún,B2,Vs,to exist | to survive
省得,省得,shěngde,B2,Vaux,to avoid | so as to save (money or time)
升高,升高,shēnggāo,B2,Vp,to raise | to ascend
升級,升级,shēngjí,B2,Vp,to go up by one grade |  to be promoted | to escalate (in intensity) | (computing) to upgrade
勝利,胜利,shènglì,B2,Vp,victory
生肖,生肖,shēngxiào,B2,N,one of the twelve animals symbolic of the earthly branches 地支 | animal from the Chinese zodiac
升學,升学,shēngxué,B2,Vi,to enter the next grade school
生長,生长,shēngzhăng,B2,Vs,to grow | to grow up | to be brought up
神話,神话,shénhuà,B2,N,legend | fairy tale | myth | mythology
神經,神经,shénjīng,B2,N,nerve | mental state | (coll.) unhinged | nutjob
深刻,深刻,shēnkè,B2,Vs,profound | deep | deep-going
神秘,神秘,shénmì,B2,Vs,mysterious | mystery
神祕,神秘,shénmì,B2,Vs,mysterious | mystery
神奇,神奇,shénqí,B2,Vs,magical | mystical | miraculous
神氣,神气,shénqì,B2,Vs,expression | manner | vigorous | impressive | lofty | pretentious
深淺,深浅,shēnqiăn,B2,N,deep or shallow | depth (of the sea) | limits of decorum
申請,申请,shēnqĭng,B2,V,to apply for sth | application form (CL:份)
神聖,神圣,shénshèng,B2,Vs,divine | hallow | holy | sacred
伸手,伸手,shēnshŏu,B2,Vi,to reach out with one's hand | to hold out a hand | (fig.) to beg | to get involved | to meddle
神仙,神仙,shénxiān,B2,N,"Daoist immortal | supernatural entity | (in modern fiction) fairy, elf, leprechaun etc | fig. lighthearted person"
深夜,深夜,shēnyè,B2,N,very late at night
慎重,慎重,shènzhòng,B2,Vs,cautious | careful | prudent
社區,社区,shèqū,B2,N,community | neighborhood
舌頭,舌头,shétou/shé,B2,N,tongue | enemy soldier captured for the purpose of extracting information
舌,舌,shétou/shé,B2,N,tongue
社團,社团,shètuán,B2,N,association | society | group | union | club | organization
攝影,摄影,shèyĭng,B2,Vi,to take a photograph | photography | to shoot (a movie)
設置,设置,shèzhì,B2,V,to set up |  to install
使,使,shĭ,B2,V,to make | to cause | to enable | to use | to employ | to send | to instruct sb to do sth | envoy | messenger
世,世,shì,B2,N,life | age | generation | era | world | lifetime | epoch | descendant | noble
視,视,shì,B2,Prep,(bound form) to look at
詩,诗,shī,B2,N,poem | poetry | verse
失敗,失败,shībài,B2,Vs,to be defeated | to lose | to fail (e.g. experiments) | failure | defeat
時常,时常,shícháng,B2,Adv,often | frequently
適當,适当,shìdàng,B2,Vs,suitable |  appropriate
失掉,失掉,shīdiào,B2,Vpt,to lose | to miss
是非,是非,shìfēi,B2,N,right and wrong | quarrel
是否,是否,shìfŏu,B2,Adv,whether (or not) | if | is or isn't
師父,师父,shīfù,B2,N,used for 師傅|师傅 (in Taiwan) | master | qualified worker
師傅,师傅,shīfù,B2,N,master | qualified worker | respectful form of address for older men
施工,施工,shīgōng,B2,Vi,construction | to carry out construction or large-scale repairs
時機,时机,shíjī,B2,N,opportunity |  opportune moment
世紀,世纪,shìjì,B2,N,century
事件,事件,shìjiàn,B2,N,event | happening | incident
市立,市立,shìlì,B2,Vs-attr,municipal | city | city-run
勢力,势力,shìlì,B2,N,"power | influence | a force (military, political etc)"
失眠,失眠,shīmián,B2,Vp,to suffer from insomnia
市民,市民,shìmín,B2,N,city resident
師母,师母,shīmŭ,B2,N,term of respect for a teacher's wife
食品,食品,shípĭn,B2,N,foodstuff |  food |  provisions
時期,时期,shíqí,B2,N,period | phase
詩人,诗人,shīrén,B2,N,bard | poet
時時,时时,shíshí,B2,Adv,often | constantly
實施,实施,shíshī,B2,V,to implement | to carry out
事實上,事实上,shìshíshàng,B2,Adv,in fact | in reality | actually | as a matter of fact | de facto | ipso facto
失望,失望,shīwàng,B2,Vs,disappointed | to lose hope | to despair
示威,示威,shìwēi,B2,Vi,to demonstrate (as a protest) | a demonstration | a military show of force
事物,事物,shìwù,B2,N,thing |  object
實現,实现,shíxiàn,B2,V,to achieve | to implement | to realize | to bring about
事先,事先,shìxiān,B2,Adv,in advance | before the event | beforehand | prior
實驗,实验,shíyàn,B2,N / Vi,experiment | test | experimental | to experiment
試驗,试验,shìyàn,B2,V,experiment | test | to experiment | experimental
式樣,式样,shìyàng,B2,N,style
視野,视野,shìyě,B2,N,field of view | (fig.) outlook | perspective
失業,失业,shīyè,B2,Vp,unemployment | to lose one's job
實用,实用,shíyòng,B2,Vs,practical | functional | pragmatic | applied (science)
適用,适用,shìyòng,B2,Vst,to be applicable
實在,实在,shízài,B2,Adv,really | actually | indeed | true | real | honest | dependable | (philosophy) reality
始終,始终,shĭzhōng,B2,Adv,from beginning to end | all along
受,受,shòu,B2,Prep / Vst,to receive | to accept | to suffer | subjected to | to bear | to stand | pleasant | (passive marker)
售,售,shòu,B2,V,to sell | to make or carry out (a plan or intrigue etc)
首,首,shŏu,B2,Det,"head | chief | first (occasion, thing etc) | classifier for poems, songs etc"
受不了,受不了,shòubùliăo,B2,Vst,unbearable | unable to endure | can't stand
受到,受到,shòudào,B2,Vpt,"to receive (praise, an education, punishment etc) | to be ...ed (praised, educated, punished etc)"
手電筒,手电筒,shŏudiàntŏng,B2,N,flashlight | electric hand torch
首都,首都,shŏudū,B2,N,capital (city)
手段,手段,shŏuduàn,B2,N,method | means (of doing sth) | strategy | trick
收費,收费,shōufèi,B2,V-sep,to charge a fee
手工,手工,shŏugōng,B2,N,handwork | manual
收集,收集,shōují,B2,V,to gather | to collect
收據,收据,shōujù,B2,N,receipt
收看,收看,shōukàn,B2,V,to watch (a TV program)
壽命,寿命,shòumìng,B2,N,life span | life expectancy | lifetime (of a machine)
收入,收入,shōurù,B2,N,to take in | income | revenue
收拾,收拾,shōushí,B2,V,to put in order | to tidy up | to pack | to repair | (coll.) to sort sb out | to fix sb
手術,手术,shŏushù,B2,N,(surgical) operation | surgery
首先,首先,shŏuxiān,B2,Adv,first (of all) | in the first place
束,束,shù,B2,M,"to bind | bunch | bundle | classifier for bunches, bundles, beams of light etc | to control"
數,数,shù,B2,N,(literary) frequently |  repeatedly
屬,属,shŭ,B2,Vst,to join together | to fix one's attention on | to concentrate on
鼠,鼠,shŭ /lăoshŭ,B2,N,(bound form) rat |  mouse
老鼠,老鼠,shŭ /lăoshŭ,B2,N,rat | mouse
耍,耍,shuă,B2,V,"to play with | to wield | to act (cool etc) | to display (a skill, one's temper etc)"
甩,甩,shuăi,B2,V,to throw | to fling | to swing | to leave behind | to throw off | to dump (sb)
摔,摔,shuāi,B2,V,to throw down | to fall | to drop and break
率領,率领,shuàilĭng,B2,V,to lead | to command | to head
衰退,衰退,shuāituì,B2,Vp,to decline | to fall | to drop | to falter | a decline | recession (in economics)
雙胞胎,双胞胎,shuāngbāotāi,B2,N,twin
雙方,双方,shuāngfāng,B2,N,bilateral | both sides | both parties involved
輸出,输出,shūchū,B2,V,to export | to output
疏忽,疏忽,shūhū,B2,Vp,to neglect | to overlook | negligence | carelessness
稅,税,shuì,B2,N,taxes | duties
水分,水分,shuĭfèn,B2,N,moisture content | (fig.) overstatement | padding
水份,水份,shuĭfèn,B2,N,No definition available
說服,说服,shuìfú,B2,V,to persuade | to convince | to talk sb over | Taiwan pr. 
睡眠,睡眠,shuìmián,B2,N,sleep | to sleep | (computing) to enter sleep mode
水災,水灾,shuĭzāi,B2,N,flood | flood damage
書籍,书籍,shūjí,B2,N,books | works
熟練,熟练,shúliàn,B2,Vs,practiced | proficient | skilled | skillful
數量,数量,shùliàng,B2,N,amount |  quantity (CL:個|个) | quantitative | (math.) scalar quantity
樹林,树林,shùlín,B2,N,woods | grove | forest
數目,数目,shùmù,B2,N,amount | number
順,顺,shùn,B2,Prep / Vs,to obey | to follow | to arrange | to make reasonable | along | favorable
